,,,,,,,,,,,,,,,,,,,,,,,
,,,,8th graders,7%,,test rate,pass rate,total pass,% Asian,% Black,% Hispanic,% White,% with Disabilities,% ELL,% Poverty,Economic Need Index,,,,,,
84K386,Invictus Preparatory Charter School,30,s,91,6,,33.0%,,,6.2%,69.4%,22.9%,0.8%,22.1%,8.9%,76.4%,82.3%,,,,,,
84K508,Achievement First Endeavor Charter School,32,s,80,6,,40.0%,,,0.5%,84.8%,12.7%,0.9%,15.1%,0.9%,79.0%,71.2%,,,,,,
84K517,Leadership Prep Bedford Stuyvesant Uncommon Prep C,56,s,82,6,,68.3%,,,1.0%,81.6%,12.1%,1.2%,10.6%,2.3%,79.4%,72.6%,,,,,,
84K536,Community Roots Charter School,16,s,55,4,,29.1%,,,5.3%,29.1%,16.0%,40.9%,21.5%,1.7%,29.1%,37.5%,,,,,,
84K538,Achievement First Bushwick Charter School,53,s,94,7,,56.4%,,,1.2%,30.3%,67.6%,0.7%,18.5%,10.3%,84.5%,77.9%,,,,,,
84K593,Excellence Boys Charter School,39,s,96,7,,40.6%,,,3.2%,82.0%,10.7%,1.3%,17.2%,1.7%,75.7%,69.6%,,,,,,
84K608,Kings Collegiate Charter School,27,s,86,6,,31.4%,,,0.3%,90.0%,7.2%,0.3%,15.5%,1.1%,76.4%,69.5%,,,,,,
84K626,Achievement First Brownsville Charter School,55,s,89,6,,61.8%,,,0.9%,86.4%,11.0%,0.4%,12.3%,2.5%,83.4%,76.2%,,,,,,
84K648,Bedford Stuyvesant Collegiate Charter School,37,s,87,6,,42.5%,,,1.4%,63.0%,32.5%,0.6%,15.3%,4.2%,70.9%,74.5%,,,,,,
84K651,PAVE Academy Charter School,41,s,46,3,,89.1%,,,1.9%,42.0%,53.9%,1.6%,18.5%,10.1%,87.0%,85.3%,,,,,,
84K652,Brooklyn Ascend Charter School,48,s,109,8,,44.0%,,,0.6%,94.1%,3.9%,0.1%,12.6%,1.0%,81.9%,68.3%,,,,,,
84K702,Community Partnership Charter School,17,s,49,3,,34.7%,,,1.5%,75.8%,19.5%,1.0%,16.5%,2.5%,86.2%,77.1%,,,,,,
84K704,Explore Charter School,37,s,57,4,,64.9%,,,0.0%,82.4%,14.4%,0.2%,13.5%,6.6%,76.5%,70.0%,,,,,,
84K710,Brownsville Collegiate Charter School,29,s,77,5,,37.7%,,,0.9%,66.2%,25.9%,0.9%,18.4%,6.1%,86.0%,81.9%,,,,,,
84K711,Leadership Preparatory Brownsville Charter School,31,s,74,5,,41.9%,,,0.1%,83.7%,14.7%,0.4%,12.6%,2.0%,90.6%,80.7%,,,,,,
84K712,Excellence Girls Charter School,59,s,110,8,,53.6%,,,1.9%,78.0%,16.4%,0.6%,10.5%,1.7%,71.6%,66.6%,,,,,,
84K724,Leadership Prep Canarsie Charter School (Leadershi,21,s,90,6,,23.3%,,,0.5%,91.0%,5.4%,0.7%,12.3%,0.4%,81.0%,58.9%,,,,,,
84K730,Summit Academy Charter School,7,s,47,3,,14.9%,,,0.6%,46.1%,47.6%,2.4%,19.9%,6.3%,83.0%,82.4%,,,,,,
84K731,Brooklyn Excelsior Charter School,23,s,63,4,,36.5%,,,1.0%,79.4%,18.1%,0.5%,14.6%,3.5%,73.1%,80.0%,,,,,,
84K737,Brownsville Ascend Charter School,24,s,110,8,,21.8%,,,0.7%,86.4%,10.2%,0.7%,13.3%,0.9%,73.4%,78.2%,,,,,,
84K740,Brooklyn Scholars Charter School,26,s,72,5,,36.1%,,,7.1%,67.8%,23.2%,0.1%,10.8%,1.6%,69.5%,77.6%,,,,,,
84K742,Explore Empower Charter School,26,s,56,4,,46.4%,,,1.1%,87.6%,8.8%,1.0%,23.3%,5.4%,81.3%,79.6%,,,,,,
84K744,Coney Island Preparatory Public Charter School,22,s,90,6,,24.4%,,,8.9%,38.2%,34.6%,16.2%,23.7%,5.2%,82.8%,77.5%,,,,,,
84K746,Hebrew Language Academy Charter School,26,s,64,4,,40.6%,,,1.5%,47.9%,5.1%,43.8%,19.3%,5.8%,67.3%,52.7%,,,,,,
84K757,Unity Prep Charter School,15,s,105,7,,14.3%,,,0.6%,77.7%,17.7%,1.1%,22.3%,5.5%,76.6%,77.3%,,,,,,
84K774,Achievement First Apollo Charter School,65,s,77,5,,84.4%,,,4.7%,60.5%,32.5%,1.2%,12.0%,6.2%,85.6%,76.6%,,,,,,
84K775,Leadership Preparatory Ocean Hill Charter School,43,s,85,6,,50.6%,,,0.9%,83.8%,11.5%,0.7%,10.1%,2.4%,81.6%,73.8%,,,,,,
84K777,Ocean Hill Collegiate Charter School,46,s,80,6,,57.5%,,,0.9%,83.1%,11.3%,0.3%,11.9%,3.0%,81.9%,70.3%,,,,,,
84K780,Brooklyn East Collegiate Charter School,54,s,86,6,,62.8%,,,1.8%,81.0%,7.3%,0.9%,16.8%,2.1%,80.1%,68.4%,,,,,,
84K782,Bedford Stuyvesant New Beginnings Charter School,26,s,60,4,,43.3%,,,0.1%,52.8%,45.4%,0.9%,19.5%,13.0%,92.8%,87.5%,,,,,,
84K791,Brooklyn Dreams Charter School,29,s,70,5,,41.4%,,,16.6%,60.6%,17.9%,2.5%,14.3%,10.9%,62.4%,68.6%,,,,,,
84K793,Bushwick Ascend Charter School,25,s,73,5,,34.2%,,,1.1%,22.0%,75.2%,1.0%,16.0%,16.8%,82.2%,80.1%,,,,,,
84K803,Brooklyn LABÊCharter School,40,s,135,9,,29.6%,,,1.7%,78.3%,15.2%,1.7%,29.2%,1.8%,67.4%,74.9%,,,,,,
84M065,Democracy Prep Endurance Charter School,26,s,103,7,,25.2%,,,0.3%,66.3%,30.1%,1.0%,20.2%,5.5%,75.5%,77.2%,,,,,,
84M068,KIPP Washington Heights Middle School,19,s,82,6,,23.2%,,,0.1%,10.3%,88.3%,0.8%,18.3%,11.1%,89.9%,83.5%,,,,,,
84M202,Great Oaks Charter School,27,s,71,5,,38.0%,,,8.4%,25.6%,61.9%,2.8%,29.8%,4.2%,69.3%,72.7%,,,,,,
84M204,Capital Preparatory (CP) Harlem Charter School,s,s,82,6,,#VALUE!,,,0.4%,72.1%,26.2%,0.0%,21.9%,1.7%,60.9%,72.8%,,,,,,
84M279,The Opportunity Charter School,12,s,71,5,,16.9%,,,1.4%,50.9%,45.3%,0.5%,62.4%,9.6%,81.2%,85.7%,,,,,,
84M284,Harlem Children's Zone Promise Academy 1 Charter S,23,s,88,6,,26.1%,,,0.3%,80.6%,16.5%,0.8%,15.9%,3.5%,85.3%,82.3%,,,,,,
84M330,Girls Preparatory Charter School of New York,16,s,54,4,,29.6%,,,2.1%,46.6%,46.3%,2.0%,16.7%,2.1%,78.4%,75.6%,,,,,,
84M335,Harlem Village Academy Leadership Charter School,10,s,55,4,,18.2%,,,0.5%,62.9%,33.9%,0.7%,20.0%,1.2%,81.3%,81.2%,,,,,,
84M336,KIPP Infinity Charter School,15,s,94,7,,16.0%,,,0.4%,28.2%,69.6%,1.3%,23.1%,10.1%,87.7%,83.0%,,,,,,
84M341,Harlem Children's Zone Promise Academy II Charter,18,s,76,5,,23.7%,,,0.6%,82.1%,14.7%,0.5%,14.6%,3.1%,82.2%,82.7%,,,,,,
84M350,Democracy Prep Charter School,27,s,105,7,,25.7%,,,0.9%,66.2%,30.4%,0.9%,16.9%,5.1%,83.0%,76.0%,,,,,,
84M351,Success Academy Charter School - Harlem 1,35,s,102,7,,34.3%,,,1.1%,71.7%,22.6%,1.7%,14.5%,2.5%,73.1%,72.7%,,,,,,
84M353,New Heights Academy Charter School,s,s,99,7,,#VALUE!,,,0.1%,4.1%,95.7%,0.1%,13.7%,12.4%,93.8%,89.3%,,,,,,
84M382,DREAM Charter School,16,s,54,4,,29.6%,,,1.6%,30.5%,65.3%,1.2%,26.8%,6.5%,86.0%,84.9%,,,,,,
84M384,Success Academy Charter School - Harlem 2,37,s,70,5,,52.9%,,,1.7%,67.0%,28.7%,1.7%,17.2%,3.1%,77.7%,75.8%,,,,,,
84M385,Success Academy Charter School - Harlem 3,29,s,68,5,,42.6%,,,1.1%,61.2%,33.6%,1.8%,19.0%,3.3%,74.7%,75.8%,,,,,,
84M386,Success Academy Charter School - Harlem 4,20,s,67,5,,29.9%,,,1.6%,63.2%,29.4%,2.9%,19.2%,5.0%,74.8%,75.0%,,,,,,
84M388,St. HOPE Leadership Academy Charter School,22,s,84,6,,26.2%,,,1.7%,58.8%,37.2%,0.7%,21.9%,7.3%,93.4%,86.4%,,,,,,
84M430,The Equity Project Charter School (TEP),38,s,113,8,,33.6%,,,0.1%,3.6%,95.1%,0.7%,21.3%,28.1%,90.6%,82.5%,,,,,,
84M478,Inwood Academy for Leadership Charter School,20,s,121,8,,16.5%,,,0.5%,5.7%,92.3%,0.5%,21.7%,14.3%,92.2%,81.2%,,,,,,
84M481,Democracy Prep Harlem Charter School,21,s,108,8,,19.4%,,,0.6%,64.6%,32.5%,0.6%,15.9%,6.4%,84.8%,81.0%,,,,,,
84M482,Success Academy Charter School - Harlem 5,40,s,60,4,,66.7%,,,1.1%,67.8%,27.2%,1.1%,17.2%,5.5%,82.1%,79.9%,,,,,,
84M704,Harbor Science and Arts Charter School,7,s,21,1,,33.3%,,,1.2%,55.2%,41.2%,0.8%,22.8%,2.8%,73.2%,82.0%,,,,,,
84M708,Harlem Prep Charter School,13,s,100,7,,13.0%,,,0.8%,56.5%,40.7%,0.6%,17.8%,5.2%,87.6%,84.6%,,,,,,
84M709,Harlem Village Academy Charter School,8,s,56,4,,14.3%,,,0.4%,77.7%,18.9%,1.1%,20.3%,4.1%,80.0%,76.4%,,,,,,
84M726,KIPP STAR College Prep Charter School,18,s,68,5,,26.5%,,,0.5%,48.0%,47.8%,0.7%,24.5%,5.0%,84.4%,82.0%,,,,,,
84M861,Future Leaders Institute Charter School,13,s,34,2,,38.2%,,,0.8%,79.3%,17.6%,1.4%,13.7%,6.4%,86.8%,81.3%,,,,,,
84Q083,Central Queens Academy Charter School,41,s,86,6,,47.7%,,,18.5%,12.0%,65.8%,3.5%,9.0%,9.2%,86.0%,75.1%,,,,,,
84Q304,VOICE Charter School of New York,20,s,59,4,,33.9%,,,14.7%,12.6%,59.8%,8.7%,16.1%,17.3%,81.8%,67.6%,,,,,,
84Q321,Growing Up Green Charter School,26,s,85,6,,30.6%,,,12.5%,12.3%,36.9%,31.4%,21.1%,8.7%,47.1%,52.9%,,,,,,
84Q340,Challenge Preparatory Charter School,29,s,86,6,,33.7%,,,1.0%,80.2%,15.0%,1.8%,15.1%,2.6%,81.3%,71.0%,,,,,,
84Q341,Riverton Street Charter School,33,s,78,5,,42.3%,,,0.6%,90.0%,7.3%,0.6%,13.4%,1.2%,43.5%,46.0%,,,,,,
84Q705,Renaissance Charter School,13,s,53,4,,24.5%,,,18.8%,6.7%,61.8%,11.2%,15.9%,7.8%,74.5%,56.9%,,,,,,
84Q706,Our World Neighborhood Charter School,35,s,63,4,,55.6%,,,18.2%,6.4%,38.9%,33.2%,11.0%,7.9%,73.4%,55.8%,,,,,,
84R067,John W. Lavelle Preparatory Charter School,16,s,113,8,,14.2%,,,2.7%,42.2%,42.9%,10.5%,35.6%,2.4%,72.9%,67.5%,,,,,,
84R073,New World Preparatory Charter School,26,s,125,9,,20.8%,,,1.9%,25.1%,67.5%,5.0%,24.3%,12.2%,93.7%,82.4%,,,,,,
84X165,Grand Concourse Charter School,19,s,38,3,,50.0%,,,3.6%,34.7%,58.0%,2.0%,10.0%,14.3%,88.9%,79.3%,,,,,,
84X177,Mott Hall Charter School,16,s,89,6,,18.0%,,,0.4%,36.6%,59.4%,1.2%,17.7%,15.7%,93.3%,91.9%,,,,,,
84X185,Bronx Lighthouse Charter School,s,s,37,3,,#VALUE!,,,1.1%,32.6%,65.1%,0.3%,16.8%,7.2%,90.0%,80.9%,,,,,,
84X233,Family Life Academy Charter School II,30,s,50,4,,60.0%,,,0.6%,23.9%,74.8%,0.2%,13.2%,13.0%,92.2%,86.6%,,,,,,
84X255,Bronx Charter School for Excellence,65,s,89,6,,73.0%,,,24.1%,39.4%,33.9%,1.2%,9.1%,9.0%,77.3%,60.0%,,,,,,
84X345,Hyde Leadership Charter School,19,s,79,6,,24.1%,,,0.4%,30.2%,68.4%,0.5%,22.5%,13.0%,90.4%,84.1%,,,,,,
84X346,South Bronx Classical Charter School,23,s,33,2,,69.7%,,,2.4%,36.4%,58.8%,1.8%,11.7%,18.8%,88.1%,82.8%,,,,,,
84X378,Icahn Charter School 2,31,s,33,2,,93.9%,,,5.3%,30.6%,59.7%,2.5%,11.2%,5.3%,66.3%,58.8%,,,,,,
84X389,Bronx Global Learning Institute for Girls Charter,22,s,43,3,,51.2%,,,1.6%,26.4%,69.3%,0.9%,11.0%,14.2%,89.0%,83.5%,,,,,,
84X398,Bronx Community Charter School,19,s,51,4,,37.3%,,,4.1%,24.0%,67.2%,3.3%,21.1%,17.6%,84.8%,79.8%,,,,,,
84X419,Bronx Academy of Promise Charter School,58,s,66,5,,87.9%,,,1.6%,40.4%,57.0%,0.2%,14.9%,12.3%,88.4%,84.9%,,,,,,
84X422,Icahn Charter School 3,17,s,30,2,,56.7%,,,2.8%,63.5%,29.7%,2.8%,9.6%,2.5%,81.4%,59.5%,,,,,,
84X460,Atmosphere Charter School,43,s,127,9,,33.9%,,,2.0%,18.1%,77.8%,1.0%,22.2%,12.2%,86.0%,80.6%,,,,,,
84X461,Metropolitan Lighthouse Charter School,15,s,49,3,,30.6%,,,0.4%,38.1%,58.5%,1.2%,10.2%,14.4%,88.3%,87.3%,,,,,,
84X471,American Dream Charter School,26,s,86,6,,30.2%,,,0.0%,6.1%,93.0%,0.3%,17.1%,17.4%,96.2%,91.4%,,,,,,
84X482,Dr. Richard Izquierdo Health and Science Charter S,7,s,108,8,,6.5%,,,0.6%,26.2%,70.6%,1.5%,20.7%,10.4%,90.7%,87.6%,,,,,,
84X487,Girls Preparatory Charter School of the Bronx,40,s,94,7,,42.6%,,,0.4%,33.8%,62.3%,1.2%,17.7%,5.8%,86.7%,81.0%,,,,,,
84X488,The Equality Charter School,31,s,89,6,,34.8%,,,1.6%,65.0%,31.7%,0.9%,20.2%,3.1%,78.0%,62.4%,,,,,,
84X491,Academic Leadership Charter School,32,s,83,6,,38.6%,,,0.2%,46.1%,51.5%,1.1%,9.8%,11.8%,90.2%,88.2%,,,,,,
84X492,South Bronx Early College Academy Charter School,11,s,115,8,,9.6%,,,0.3%,32.2%,66.4%,0.9%,27.4%,12.4%,88.8%,86.6%,,,,,,
84X493,Success Academy Charter School - Bronx 1,30,s,47,3,,63.8%,,,1.4%,54.1%,42.3%,0.4%,11.2%,4.0%,80.5%,81.7%,,,,,,
84X496,Icahn Charter School 4,29,s,33,2,,87.9%,,,2.8%,60.9%,32.2%,1.3%,7.5%,0.3%,73.1%,63.6%,,,,,,
84X538,Icahn Charter School 5,20,s,27,2,,74.1%,,,4.1%,58.0%,31.0%,5.6%,6.9%,0.9%,65.2%,53.0%,,,,,,
84X703,Bronx Preparatory Charter School,22,s,115,8,,19.1%,,,0.3%,47.7%,50.5%,0.7%,12.2%,7.8%,82.9%,81.3%,,,,,,
84X704,KIPP Academy Charter School,23,s,78,5,,29.5%,,,0.2%,41.3%,56.5%,0.6%,17.5%,10.8%,87.4%,80.7%,,,,,,
84X706,Harriet Tubman Charter School,24,s,70,5,,34.3%,,,0.4%,62.9%,34.6%,0.7%,8.8%,11.2%,79.1%,87.2%,,,,,,
84X717,Icahn Charter School,24,s,30,2,,80.0%,,,1.2%,49.8%,48.3%,0.0%,7.3%,7.3%,84.2%,79.6%,,,,,,
02M347,The 47 American Sign Language & English Lower Scho,,,10,1,1 ,,,,3.0%,19.8%,43.1%,25.4%,52.3%,25.9%,61.9%,68.4%,,,,,,
03M415,Wadleigh Secondary School for the Performing & Vis,,,16,1,1 ,,,,0.7%,54.0%,39.2%,2.9%,25.5%,3.2%,80.9%,84.1%,,,,,,
05M302,KAPPA IV,,,45,3,3 ,,,,4.3%,59.6%,33.3%,2.1%,31.2%,16.3%,95.7%,94.6%,,,,,,
06M218,I.S. 218 Salome Urena,,,65,5,5 ,,,,0.6%,4.0%,94.3%,0.6%,22.9%,41.7%,93.7%,90.8%,,,,,,
09X350,New Directions Secondary School,,,61,4,4 ,,,,0.9%,24.8%,69.2%,0.9%,32.9%,35.5%,95.7%,96.1%,,,,,,
13K301,Satellite East Middle School,,,29,2,2 ,,,,7.1%,69.7%,16.2%,5.1%,33.3%,10.1%,94.9%,88.0%,,,,,,
13K313,Dock Street School for STEAM Studies,,,15,1,1 ,,,,6.5%,67.8%,19.6%,5.5%,25.1%,1.5%,72.4%,65.7%,,,,,,
21K288,P.S. 288 The Shirley Tanyhill,,,51,4,4 ,,,,1.7%,59.9%,32.1%,5.9%,29.4%,6.0%,92.6%,94.9%,,,,,,
23K363,Brownsville Collaborative Middle School,,,30,2,2 ,,,,0.0%,65.7%,30.6%,0.9%,35.2%,9.3%,90.7%,95.9%,,,,,,
27Q183,P.S. 183 Dr. Richard R. Green,,,53,4,4 ,,,,3.0%,55.8%,31.8%,5.5%,32.2%,5.9%,92.8%,90.8%,,,,,,
30Q111,P.S. 111 Jacob Blackwell,,,25,2,2 ,,,,4.1%,49.7%,41.8%,3.2%,30.4%,14.2%,95.6%,97.0%,,,,,,
75K036,P.S. 36,,,21,1,1 ,,,,4.8%,63.5%,23.7%,6.4%,99.7%,8.7%,90.1%,92.3%,,,,,,
75K053,P.S. K053,,,34,2,2 ,,,,9.3%,36.9%,36.5%,11.6%,100.0%,27.8%,88.8%,90.1%,,,,,,
75K077,P.S. K077,,,16,1,1 ,,,,15.8%,40.8%,22.5%,20.4%,99.6%,26.4%,84.2%,87.2%,,,,,,
75K141,P.S. K141,,,43,3,3 ,,,,4.3%,43.7%,36.0%,15.4%,100.0%,22.6%,88.9%,92.2%,,,,,,
75K231,P.S. K231,,,15,1,1 ,,,,19.3%,29.0%,23.3%,27.6%,99.7%,32.7%,82.7%,84.8%,,,,,,
75K368,P.S. 368,,,34,2,2 ,,,,2.5%,57.4%,31.6%,8.0%,96.2%,10.1%,92.0%,94.2%,,,,,,
75K370,P.S. 370,,,48,3,3 ,,,,12.3%,30.8%,28.1%,27.7%,99.6%,29.2%,82.2%,86.2%,,,,,,
75K396,P.S. K396,,,22,2,2 ,,,,5.6%,45.7%,18.2%,10.3%,99.4%,24.6%,91.2%,92.7%,,,,,,
75K771,P.S. K771,,,37,3,3 ,,,,15.6%,35.2%,23.3%,24.8%,100.0%,16.5%,83.3%,86.0%,,,,,,
75K811,P.S. K811 Connie Lekas School,,,19,1,1 ,,,,9.0%,51.6%,21.5%,14.6%,99.7%,29.6%,91.6%,92.8%,,,,,,
75M138,P.S. 138,,,44,3,3 ,,,,3.8%,30.4%,57.6%,7.5%,99.8%,29.0%,91.7%,93.6%,,,,,,
75M169,P.S. M169 - Robert F. Kennedy,,,31,2,2 ,,,,1.1%,50.0%,43.5%,3.8%,99.7%,11.6%,93.0%,94.8%,,,,,,
75M226,P.S. M226,,,19,1,1 ,,,,4.4%,35.3%,48.0%,9.1%,100.0%,18.2%,85.1%,87.9%,,,,,,
75M811,P.S. M811 - Mickey Mantle School,,,26,2,2 ,,,,1.6%,42.1%,50.9%,4.8%,99.7%,16.4%,88.5%,91.6%,,,,,,
75Q004,P.S. Q004,,,19,1,1 ,,,,24.3%,26.1%,32.2%,12.4%,99.5%,13.9%,75.2%,77.2%,,,,,,
75Q009,P.S. 009,,,61,4,4 ,,,,11.1%,32.9%,44.7%,10.6%,99.7%,29.2%,82.1%,83.8%,,,,,,
75Q023,P.S. Q023 @ Queens Children Center,,,30,2,2 ,,,,10.2%,39.3%,26.8%,21.7%,80.8%,4.8%,83.4%,83.4%,,,,,,
75Q075,Robert E. Peary School,,,55,4,4 ,,,,14.2%,30.1%,41.5%,8.4%,99.8%,30.4%,81.1%,83.6%,,,,,,
75Q177,P.S. Q177,,,71,5,5 ,,,,19.8%,31.6%,22.5%,24.3%,99.6%,24.5%,78.3%,79.5%,,,,,,
75Q224,P.S. Q224,,,24,2,2 ,,,,22.7%,19.8%,31.2%,9.4%,100.0%,20.8%,70.3%,72.8%,,,,,,
75Q233,P.S. Q233,,,19,1,1 ,,,,16.9%,32.5%,28.8%,16.0%,100.0%,26.7%,85.4%,86.8%,,,,,,
75Q255,P.S. Q255,,,23,2,2 ,,,,19.2%,10.5%,37.5%,29.9%,99.8%,40.1%,76.2%,77.9%,,,,,,
75Q256,P.S. Q256,,,37,3,3 ,,,,5.9%,50.4%,31.2%,11.8%,86.9%,13.1%,80.0%,85.6%,,,,,,
75Q277,The Riverview School,,,47,3,3 ,,,,25.1%,17.9%,40.9%,14.4%,99.8%,42.2%,77.9%,80.0%,,,,,,
75Q811,P.S. Q811,,,16,1,1 ,,,,19.2%,33.3%,27.6%,14.6%,99.8%,22.8%,82.7%,83.9%,,,,,,
75Q993,P.S. Q993,,,21,1,1 ,,,,21.1%,18.3%,38.7%,20.3%,99.8%,39.2%,78.9%,81.1%,,,,,,
75R037,P.S. R037,,,23,2,2 ,,,,5.4%,15.2%,31.1%,45.5%,100.0%,6.9%,77.4%,78.7%,,,,,,
75R373,P.S. R373,,,9,1,1 ,,,,4.6%,26.0%,30.9%,34.9%,100.0%,13.3%,80.5%,82.2%,,,,,,
75R721,The Richard H. Hungerford School,,,36,3,3 ,,,,6.5%,18.9%,33.2%,39.5%,99.6%,14.9%,91.4%,93.0%,,,,,,
75X010,P.S. X010,,,39,3,3 ,,,,1.5%,33.9%,56.8%,6.7%,100.0%,22.3%,91.4%,93.4%,,,,,,
75X012,P.S. X012 Lewis and Clark School,,,16,1,1 ,,,,3.9%,29.6%,55.9%,3.9%,100.0%,32.6%,92.8%,94.9%,,,,,,
75X186,P186X Walter J. Damrosch School,,,56,4,4 ,,,,1.9%,40.5%,52.7%,3.4%,99.5%,28.8%,92.9%,95.4%,,,,,,
75X188,P.S. X188,,,74,5,5 ,,,,2.6%,37.0%,55.6%,3.6%,99.6%,23.3%,89.3%,93.3%,,,,,,
75X723,P.S. 723,,,51,4,4 ,,,,1.3%,34.4%,55.7%,5.8%,98.3%,9.2%,94.4%,95.6%,,,,,,
79M973,Restart Academy,,,145,10,10 ,,,,3.2%,37.3%,46.6%,10.4%,39.4%,12.9%,85.3%,88.0%,,,,,,
79X695,Passages Academy,,,35,2,2 ,,,,0.0%,56.1%,34.1%,8.5%,57.8%,8.5%,100.0%,94.9%,,,,,,
,listed schools,"25,349","4,011",,,,,,,,,,,,,,,,,,,,
,small,184,396,,,,,,,,,,,,,,,,,,,,
,total public,"25,533","4,407",,,,,17.3%,,,,,,,,,,,,,,,
,non-public schools,"2,800",660,,,,,23.6%,,,,,,,,,,,,,,,
,total,"28,333","5,067","76,762","5,373",,36.9%,17.9%,6.6%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,small students,184,396,,,,,,,,,,,,,,,,,,,,
,small schools,55,469,,,,,,,,,,,,,,,,,,,,
,kids/school,3.345454545,1.184343434,,,,,,,,,,,,,,,,,,,,
